## opening file [C100_FS.ttbar_pu200.AOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:C100_FS.ttbar_pu200.AOD.pool.root
Size:  1488492.204 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
================================================================================
      36.790 kb        1.527 kb        0.015 kb        0.000      100  (T) DataHeader
--------------------------------------------------------------------------------
       0.583 kb        0.086 kb        0.001 kb        0.000        1  (B) index_ref
       0.586 kb        0.089 kb        0.001 kb        0.000        1  (T) index_ref
       0.590 kb        0.093 kb        0.001 kb        0.000        1  (T) index_ref
       0.592 kb        0.095 kb        0.001 kb        0.000        1  (T) index_ref
       0.604 kb        0.100 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.mcProcID
       0.613 kb        0.102 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.beamEnergy
       0.619 kb        0.102 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.isDataOverlay
       0.618 kb        0.109 kb        0.001 kb        0.000        1  (B) TruthMetaData
       0.617 kb        0.112 kb        0.001 kb        0.000        1  (B) FileMetaData
       0.688 kb        0.117 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.mcCampaign
       0.682 kb        0.118 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.beamType
       0.690 kb        0.119 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.simFlavour
       0.680 kb        0.124 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.amiTag
       0.720 kb        0.137 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.conditionsTag
       0.728 kb        0.137 kb        0.001 kb        0.000        1  (B) FileMetaDataAuxDyn.geometryVersion
       0.656 kb        0.160 kb        0.002 kb        0.000      100  (T) IsTestBeam
       0.748 kb        0.161 kb        0.002 kb        0.000        1  (B) FileMetaDataAuxDyn.generatorsInfo
       0.660 kb        0.162 kb        0.002 kb        0.000      100  (T) IsSimulation
       0.662 kb        0.163 kb        0.002 kb        0.000      100  (T) IsCalibration
       0.977 kb        0.167 kb        0.002 kb        0.000      100  (T) McChannel
       0.977 kb        0.167 kb        0.002 kb        0.000      100  (T) RunNumber
       0.977 kb        0.167 kb        0.002 kb        0.000      100  (T) EventTime
       0.990 kb        0.170 kb        0.002 kb        0.000      100  (T) EventTimeNanoSec
       0.984 kb        0.171 kb        0.002 kb        0.000      100  (T) ConditionsRun
       0.990 kb        0.174 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosX
       0.990 kb        0.174 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosY
       0.990 kb        0.174 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosZ
       1.000 kb        0.176 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamStatus
       1.000 kb        0.176 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamTiltXZ
       1.000 kb        0.176 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamTiltYZ
       1.020 kb        0.180 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosSigmaXY
       0.979 kb        0.180 kb        0.002 kb        0.000      100  (T) LumiBlockN
       0.960 kb        0.181 kb        0.002 kb        0.000      100  (T) EventWeight
       1.015 kb        0.183 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosSigmaX
       1.015 kb        0.183 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosSigmaY
       1.015 kb        0.183 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.beamPosSigmaZ
       1.024 kb        0.185 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.mcChannelNumber
       1.093 kb        0.210 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.actualInteractionsPerCrossing
       1.098 kb        0.211 kb        0.002 kb        0.000      100  (B) EventInfoAuxDyn.averageInteractionsPerCrossing
       0.743 kb        0.223 kb        0.002 kb        0.000        1  (B) FileMetaDataAux.
       1.362 kb        0.269 kb        0.003 kb        0.000      100  (B) index_ref
       1.366 kb        0.272 kb        0.003 kb        0.000      100  (T) index_ref
       1.396 kb        0.282 kb        0.003 kb        0.000      100  (T) EventNumber
       1.413 kb        0.296 kb        0.003 kb        0.000      100  (B) EventInfoAuxDyn.mcEventNumber
       2.411 kb        0.321 kb        0.003 kb        0.000      100  (B) TruthEventsAuxDyn.NCOLL
       2.431 kb        0.325 kb        0.003 kb        0.000      100  (B) TruthEventsAuxDyn.NPARTPROJ
       2.431 kb        0.325 kb        0.003 kb        0.000      100  (B) TruthEventsAuxDyn.NPARTTARG
       2.416 kb        0.326 kb        0.003 kb        0.000      100  (B) TruthEventsAuxDyn.PDFID1
       2.416 kb        0.326 kb        0.003 kb        0.000      100  (B) TruthEventsAuxDyn.PDFID2
       2.548 kb        0.349 kb        0.003 kb        0.000      100  (B) TruthEvents
       2.050 kb        0.351 kb        0.004 kb        0.000      100  (B) EventInfoAuxDyn.streamTagRobs
       2.050 kb        0.351 kb        0.004 kb        0.000      100  (B) EventInfoAuxDyn.streamTagDets
       2.445 kb        0.355 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.ECCENTRICITY
       0.853 kb        0.355 kb        0.004 kb        0.000        1  (T) DataHeader
       2.440 kb        0.358 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.SIGMAINELNN
       2.416 kb        0.361 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.PDGID1
       2.416 kb        0.361 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.PDGID2
       2.479 kb        0.362 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.NNWOUNDEDCOLLISIONS
       2.479 kb        0.362 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.NWOUNDEDNCOLLISIONS
       2.514 kb        0.365 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.NWOUNDEDNWOUNDEDCOLLISIONS
       2.431 kb        0.368 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.NCOLLHARD
       0.973 kb        0.368 kb        0.004 kb        0.000      100  (T) BunchId
       2.929 kb        0.370 kb        0.004 kb        0.000      100  (B) EventInfo
       2.465 kb        0.375 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.SPECTATORPROTONS
       2.470 kb        0.376 kb        0.004 kb        0.000      100  (B) TruthEventsAuxDyn.SPECTATORNEUTRONS
       5.956 kb        0.401 kb        0.004 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJetsAux.
       5.941 kb        0.402 kb        0.004 kb        0.000      100  (B) InTimeAntiKt4TruthJetsAux.
       2.592 kb        0.412 kb        0.004 kb        0.000      100  (B) TruthPileupParticles
       2.616 kb        0.421 kb        0.004 kb        0.000      100  (B) OutOfTimeAntiKt4TruthJets
       2.577 kb        0.440 kb        0.004 kb        0.000      100  (B) TruthPileupEvents
       2.602 kb        0.449 kb        0.004 kb        0.000      100  (B) InTimeAntiKt4TruthJets
       2.621 kb        0.457 kb        0.005 kb        0.000      100  (B) InDetLargeD0TrackParticles
       2.567 kb        0.458 kb        0.005 kb        0.000      100  (B) PrimaryVertices
       2.522 kb        0.468 kb        0.005 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.Classification
       2.522 kb        0.483 kb        0.005 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.parentHadronID
       2.587 kb        0.485 kb        0.005 kb        0.000      100  (B) InDetTrackParticles
       2.576 kb        0.494 kb        0.005 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.classifierParticleOutCome
       2.562 kb        0.511 kb        0.005 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.classifierParticleType
       2.571 kb        0.521 kb        0.005 kb        0.000      100  (B) TruthPileupParticlesAuxDyn.classifierParticleOrigin
       2.562 kb        0.523 kb        0.005 kb        0.000      100  (B) TruthParticles
       2.558 kb        0.534 kb        0.005 kb        0.000      100  (B) TruthVertices
       2.685 kb        0.548 kb        0.005 kb        0.000      100  (B) SiSPSeedSegmentsActsPixelTrackParticles
       2.616 kb        0.604 kb        0.006 kb        0.000      100  (B) ITkPixelMeasurements_offl
       2.616 kb        0.616 kb        0.006 kb        0.000      100  (B) ITkStripMeasurements_offl
